source,target,relation
job_17,Product Manager,is_job_role
job_17,Regular,requires_GPA_level
job_18,Traveloka,offered_by
job_18,Depok,located_in
job_18,R,requires
job_18,Python,requires
job_18,Kotlin,requires
job_18,Senior Level,requires_experience_level
job_18,AWS Certified,requires_certification
job_18,Database Administrator,is_job_role
job_18,Cum Laude,requires_GPA_level
job_19,Dana,offered_by
job_19,Tangerang,located_in
job_19,R,requires
job_19,JavaScript,requires
job_19,GCP,requires
job_19,Senior Level,requires_experience_level
job_19,Google Cloud Certified,requires_certification
job_19,Mobile Developer,is_job_role
job_19,Regular,requires_GPA_level
